SCHOOL NO.,ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,WEBSITE,網頁,RELIGION,宗教
511420000123,Aided Primary Schools,資助小學,CHAN SUI KI (LA SALLE) PRIMARY SCHOOL,陳瑞祺(喇沙)小學,22 SHEUNG SHING STREET HOMANTIN KOWLOON,九龍何文田常盛街22號,114-10-52,114-10-52,22-19-8,22-19-8,836708.7,836708.7,819974.3,819974.3,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,27116278,27116278,27140854,27140854,http://www.cskps.edu.hk,http://www.cskps.edu.hk,CATHOLICISM,天主教
115002000123,Aided Primary Schools,資助小學,CHRISTIAN ALLIANCE H C CHAN PRI SCH,香港九龍塘基督教中華宣道會陳元喜小學,CHUN SHEK ESTATE SHATIN NEW TERRITORIES,新界沙田秦石?,114-11-14,114-11-14,22-22-18,22-22-18,837331,837331,825837,825837,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26998030,26998030,26031446,26031446,http://www.cahcc.edu.hk/,http://www.cahcc.edu.hk/,PROTESTANTISM / CHRISTIANITY,基督教
512850000123,Aided Primary Schools,資助小學,MARYMOUNT PRIMARY SCHOOL,瑪利曼小學,"LG 1/F, G/F, 1/F, 2/F, 3/F & 4/F 336 TAI HANG ROAD WANCHAI HONG KONG",香港灣仔大坑道336號地庫1樓、地下、1樓、2樓、3樓及4樓,114-11-26,114-11-26,22-15-47,22-15-47,837677,837677,813792,813792,GIRLS,女,WHOLE DAY,全日,WAN CHAI,灣仔區,AIDED,資助,PRIMARY,小學,25728728,25728728,25724131,25724131,http://www.mps.edu.hk,http://www.mps.edu.hk,CATHOLICISM,天主教
112550000323,Aided Primary Schools,資助小學,HING TAK SCHOOL,興德學校,HING PING ROAD TUEN MUN NEW TERRITORIES,新界屯門慶平路,113-58-54,113-58-54,22-24-40,22-24-40,816166,816166,830210,830210,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24482211,24482211,24483098,24483098,http://www.hingtak.edu.hk,http://www.hingtak.edu.hk,NOT APPLICABLE,不適用
112666000123,Aided Primary Schools,資助小學,TUNG TAK SCHOOL,通德學校,"SHING MUN SAN TSUEN, KAM TIN YUEN LONG NEW TERRITORIES",新界元朗錦田城門新村,114-3-58,114-3-58,22-26-29,22-26-29,824861,824861,833542,833542,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,24761101,24761101,24747045,24747045,http://www.ttsch.edu.hk/,http://www.ttsch.edu.hk/,NOT APPLICABLE,不適用
536547000223,Aided Primary Schools,資助小學,TUNG CHUNG CATHOLIC SCHOOL,東涌天主教學校,YAT TUNG (2) ESTATE 8 YAT TUNG STREET TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,新界大嶼山東涌逸東街8號逸東(二)?,113-56-8,113-56-8,22-16-58,22-16-58,811392.9,811392.9,816021.8,816021.8,CO-ED,男女,WHOLE DAY,全日,ISLANDS,離島區,AIDED,資助,PRIMARY,小學,21094962,21094962,21210166,21210166,http://www.tccs.edu.hk,http://www.tccs.edu.hk,CATHOLICISM,天主教
540170000123,Aided Primary Schools,資助小學,STFA WU MIEN TUEN PRIMARY SCHOOL,順德聯誼總會伍冕端小學,"PRIMARY SCHOOL IN AREA 110 PHASE 4 TIN SHUI WAI, YUEN LONG NEW TERRITORIES",新界元朗天水圍第4期第110區小學,114-0-2,114-0-2,22-28-16,22-28-16,818135,818135,836855,836855,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,31570630,31570630,31570629,31570629,http://www.stfawmtps.edu.hk/,http://www.stfawmtps.edu.hk/,NOT APPLICABLE,不適用
115150000123,Aided Primary Schools,資助小學,TSUEN WAN TRADE ASSOCIATION PRI SCH,荃灣商會學校,ESTATE PRIMARY SCHOOL NO 1 TSING YI ESTATE AREA 1 TSING YI ISLAND NEW TERRITORIES,新界青衣島青衣?一區第一屋?小學,114-6-10,114-6-10,22-21-14,22-21-14,828628.5,828628.5,823876.9,823876.9,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24977911,24977911,24951133,24951133,http://www.twtaps.edu.hk,http://www.twtaps.edu.hk,NOT APPLICABLE,不適用
115681000123,Aided Primary Schools,資助小學,LEE CHI TAT MEMORIAL SCHOOL,李志達紀念學校,"30 TIN PING ROAD SHEK WU HUI, SHEUNG SHUI NEW TERRITORIES",新界上水石湖墟天平道30號,114-7-52,114-7-52,22-30-26,22-30-26,831559,831559,840835,840835,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26738581,26738581,26680223,26680223,http://www.lctms.edu.hk,http://www.lctms.edu.hk,NOT APPLICABLE,不適用
114510000123,Aided Primary Schools,資助小學,PLK VICWOOD KT CHONG NO.2 PRIMARY SCHOOL,保良局莊?程第二小學,TAI HING ESTATE TUEN MUN NEW TERRITORIES,新界屯門大興?,113-58-21,113-58-21,22-24-6,22-24-6,815210,815210,829168,829168,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24621722,24621722,24627901,24627901,http://www.plkvktc2.edu.hk,http://www.plkvktc2.edu.hk,NOT APPLICABLE,不適用
115428000123,Aided Primary Schools,資助小學,PLK CHONG KEE TING PRIMARY SCHOOL       ,保良局莊啟程小學,YIU ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES,新界沙田馬鞍山耀安?,114-13-54,114-13-54,22-25-11,22-25-11,841914,841914,831150,831150,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26410221,26410221,26414724,26414724,http://www.plkcktps.edu.hk/,http://www.plkcktps.edu.hk/,NOT APPLICABLE,不適用
513113000123,Aided Primary Schools,資助小學,OBLATE PRIMARY SCHOOL,獻主會小學,1 SHUN FUNG STREET TOKWAWAN KOWLOON,九龍土瓜灣順風街一號,114-11-31,114-11-31,22-18-58,22-18-58,837806.8,837806.8,819664.6,819664.6,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,23648375,23648375,23648335,23648335,http://www.ops.edu.hk,http://www.ops.edu.hk,CATHOLICISM,天主教
170054000223,Aided Primary Schools,資助小學,ST. PAUL'S PRIMARY CATHOLIC SCHOOL,聖保祿天主教小學,"ESTATE SCHOOL NO.2, HING WAH (II) ESTATE, CHAI WAN, HONG KONG",香港柴灣興華(二)?二號學校,114-13-57,114-13-57,22-15-50,22-15-50,842012.5,842012.5,813900.9,813900.9,CO-ED,男女,WHOLE DAY,全日,WAN CHAI,灣仔區,AIDED,資助,PRIMARY,小學,25763181,25763181,,,,,,
132853000123,Aided Primary Schools,資助小學,ST CHARLES SCHOOL,聖嘉祿學校,25 POKFIELD ROAD KENNEDY TOWN HONG KONG,香港堅尼地城蒲飛路25號,114-7-48,114-7-48,22-16-50,22-16-50,831423,831423,815747,815747,CO-ED,男女,WHOLE DAY,全日,CENTRAL AND WESTERN,中西區,AIDED,資助,PRIMARY,小學,28173325,28173325,28177813,28177813,http://www.stcharles.edu.hk,http://www.stcharles.edu.hk,CATHOLICISM,天主教
170062000223,Aided Primary Schools,資助小學,ST FRANCIS' CANOSSIAN SCHOOL,嘉諾撒聖方濟各學校,42 & 44 ST. FRANCIS STREET WANCHAI HONG KONG,香港灣仔聖佛蘭士街42號及44號,114-10-6,114-10-6,22-16-30,22-16-30,835401.4,835401.4,815140.1,815140.1,GIRLS,女,WHOLE DAY,全日,WAN CHAI,灣仔區,AIDED,資助,PRIMARY,小學,25281763,25281763,28657681,28657681,http://www.sfcs.edu.hk,http://www.sfcs.edu.hk,CATHOLICISM,天主教
535753000223,Aided Primary Schools,資助小學,THE SALVATION ARMY LAM BUTT CHUNG MEM SCH,救世軍林拔中紀念學校,YAT TUNG ESTATE 8 YAT TUNG STREET TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,新界大嶼山東涌逸東街8號逸東?,113-56-14,113-56-14,22-16-54,22-16-54,811561,811561,815881,815881,CO-ED,男女,WHOLE DAY,全日,ISLANDS,離島區,AIDED,資助,PRIMARY,小學,21090328,21090328,21090223,21090223,http://www.salbcms.edu.hk,http://www.salbcms.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
114596000123,Aided Primary Schools,資助小學,THE ELCHK WO CHE LUTHERAN SCHOOL,基督教香港信義會禾輋信義學校,ESTATE PRIMARY SCHOOL NO 3 WO CHE ESTATE SHATIN NEW TERRITORIES,新界沙田禾輋?第三座小學,114-11-38,114-11-38,22-23-17,22-23-17,838017,838017,827644.2,827644.2,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26911426,26911426,26911824,26911824,http://wcl.edu.hk/,http://wcl.edu.hk/,PROTESTANTISM / CHRISTIANITY,基督教
